Rank,Water Year,Date,Time,Stage (m),Flow (m3/s),Rating,Source,Ref,Comments
40.0,1957-1958,27/06/1958,21:00,,0.331,,Digital Archive,,
29.0,1958-1959,05/03/1959,21:00,,0.453,,Digital Archive,,
50.0,1959-1960,29/03/1960,21:00,,0.232,,Digital Archive,,
23.0,1960-1961,28/02/1961,21:00,,0.549,,Digital Archive,,
38.0,1961-1962,21/01/1962,21:00,,0.36,,Digital Archive,,
41.0,1962-1963,31/03/1963,21:00,,0.328,,Digital Archive,,
42.0,1963-1964,21/04/1964,21:00,,0.317,,Digital Archive,,
58.0,1964-1965,03/04/1965,21:00,,0.113,,Digital Archive,,
31.0,1965-1966,23/06/1966,21:00,,0.442,,Digital Archive,,
32.0,1966-1967,27/02/1967,21:00,,0.436,,Digital Archive,,
18.0,1967-1968,16/09/1968,21:00,,0.651,,Digital Archive,,
21.0,1968-1969,13/03/1969,21:00,,0.61,,Digital Archive,,
33.0,1969-1970,22/03/1970,21:00,,0.43,,Digital Archive,,
26.0,1970-1971,23/01/1971,21:00,,0.49,,Digital Archive,,
34.0,1971-1972,07/04/1972,21:00,,0.42,,Digital Archive,,
47.0,1972-1973,06/12/1972,21:00,,0.29,,Digital Archive,,
55.0,1973-1974,10/03/1974,21:00,,0.17,,Digital Archive,,
16.0,1974-1975,03/08/1975,21:00,,0.68,,Digital Archive,,
45.0,1975-1976,29/01/1976,21:00,,0.306,,Digital Archive,,
19.0,1976-1977,20/02/1977,21:00,,0.65,,Digital Archive,,
10.0,1977-1978,05/05/1978,21:00,,1.14,,Digital Archive,,
9.0,1978-1979,29/07/1979,21:00,,1.15,,Digital Archive,,
8.0,1979-1980,27/12/1979,21:00,,1.23,,Digital Archive,,
24.0,1980-1981,16/10/1980,21:00,,0.524,,Digital Archive,,
29.0,1981-1982,15/03/1982,13:30,,0.453,,Digital Archive,,
5.0,1982-1983,01/06/1983,13:15,0.408,1.77,,Digital Archive,,
25.0,1983-1984,14/09/1984,18:30,0.188,0.512,,Digital Archive,,
,1984-1985,,,,,,,,
,1985-1986,,,,,,,,
,1986-1987,,,,,,,,
,1987-1988,,,,,,,,
,1988-1989,,,,,,,,
44.0,1989-1990,27/03/1990,15:30,0.136,0.309,,Digital Archive,,
59.0,1990-1991,12/02/1991,08:00,0.069,0.109,,Digital Archive,,
52.0,1991-1992,29/05/1992,18:15,0.106,0.211,,Digital Archive,,
6.0,1992-1993,12/06/1993,07:30,0.397,1.69,,Digital Archive,,
1.0,1993-1994,13/10/1993,19:45,0.548,2.87,,Digital Archive,,
4.0,1994-1995,17/05/1995,17:00,0.457,2.12,,Digital Archive,,
46.0,1995-1996,09/01/1996,08:00,0.134,0.302,,Digital Archive,,
60.0,1996-1997,25/02/1997,13:00,0.058,0.084,,Digital Archive,,
55.0,1997-1998,05/05/1998,15:45,0.092,0.17,,Digital Archive,,
37.0,1998-1999,14/11/1998,14:45,0.159,0.394,,Digital Archive,,
39.0,1999-2000,28/05/2000,16:45,0.146,0.345,,Digital Archive,,
2.0,2000-2001,12/02/2001,23:45,0.478,2.29,,Digital Archive,,
22.0,2001-2002,30/04/2002,20:45,0.202,0.573,,Digital Archive,,
14.0,2002-2003,22/01/2003,00:30,0.265,0.88,,Digital Archive,,
43.0,2003-2004,31/01/2004,16:00,0.138,0.316,,Digital Archive,,
54.0,2004-2005,19/11/2004,08:30,0.101,0.196,,Digital Archive,,
61.0,2005-2006,08/05/2006,15:45,0.05,0.067,,Digital Archive,,
12.0,2006-2007,28/05/2007,18:00,0.276,0.94,,Digital Archive,,
35.0,2007-2008,16/03/2008,12:30,0.163,0.41,,Digital Archive,,
20.0,2008-2009,10/02/2009,20:45,0.212,0.619,,Digital Archive,,
36.0,2009-2010,02/05/2010,04:30,0.161,0.402,,Digital Archive,,
51.0,2010-2011,18/01/2011,13:45,0.108,0.217,,Digital Archive,,
49.0,2011-2012,11/06/2012,22:45,0.116,0.242,,Digital Archive,,
15.0,2012-2013,27/01/2013,19:30,0.234,0.723,,Digital Archive,,
2.0,2013-2014,07/02/2014,15:45,0.478,2.29,,Digital Archive,,
12.0,2014-2015,16/07/2015,23:45,0.276,0.94,,Digital Archive,,
17.0,2015-2016,23/06/2016,17:45,0.22,0.656,,Digital Archive,,
57.0,2016-2017,17/05/2017,19:30,0.078,0.132,,Digital Archive,,
48.0,2017-2018,30/05/2018,04:00,0.125,0.272,,Digital Archive,,
52.0,2018-2019,15/10/2018,05:15,0.106,0.211,,Digital Archive,,
28.0,2019-2020,29/02/2020,10:45,0.179,0.474,,Digital Archive,,
7.0,2020-2021,18/01/2021,17:15,0.396,1.683,,Digital Archive,,
27.0,2021-2022,21/10/2021,01:00,0.181,0.483,,Digital Archive,,
10.0,2022-2023,09/05/2023,17:30,0.312,1.14,,Digital Archive,,
