Rank,Water Year,Date,Time,Stage (m),Flow (m3/s),Rating,Source,Ref,Comments
67,1952-1953,10/02/1953,00:00,,1.22,,Hydpeaks,,
70,1953-1954,12/06/1954,00:00,,1.08,,Hydpeaks,,
66,1954-1955,17/05/1955,00:00,,1.25,,Hydpeaks,,
59,1955-1956,19/10/1955,00:00,,1.486,,FEH,,
63,1956-1957,19/07/1957,00:00,,1.444,,FEH,,
50,1957-1958,26/06/1958,00:00,,1.699,,FEH,,
58,1958-1959,13/12/1958,00:00,,1.5,,FEH,,
69,1959-1960,16/09/1960,00:00,,1.16,,Hydpeaks,,
41,1960-1961,27/02/1961,00:00,,1.897,,FEH,,
61,1961-1962,21/01/1962,00:00,,1.472,,FEH,,
51,1962-1963,06/07/1963,00:00,,1.684,,FEH,,
46,1963-1964,21/07/1964,00:00,,1.784,,FEH,,
71,1964-1965,03/09/1965,00:00,,1.06,,Hydpeaks,,
12,1965-1966,21/08/1966,00:00,,3.086,,FEH,,
21,1966-1967,25/06/1967,00:00,,2.576,,FEH,,
5,1967-1968,15/09/1968,00:00,,3.539,,FEH,,
29,1968-1969,02/08/1969,00:00,,2.208,,FEH,,
31,1969-1970,12/09/1970,00:00,,2.137,,FEH,,
49,1970-1971,14/11/1970,00:00,,1.709,,FEH,,
64,1971-1972,20/05/1972,00:00,,1.41,,Hydpeaks,,
27,1972-1973,06/12/1972,00:00,,2.278,In Range,FEH,1_3,
56,1973-1974,27/09/1974,00:00,,1.556,In Range,FEH,1_3,
22,1974-1975,17/05/1975,00:00,,2.547,In Range,FEH,1_3,
62,1975-1976,11/09/1976,00:00,,1.47,In Range,Hydpeaks,1_3,
32,1976-1977,14/06/1977,00:00,,2.122,In Range,FEH,1_3,
18,1977-1978,05/05/1978,00:00,,2.717,In Range,FEH,1_3,
6,1978-1979,30/05/1979,00:00,,3.525,In Range,FEH,1_3,
16,1979-1980,27/12/1979,00:00,,2.823,In Range,FEH,1_3,
38,1980-1981,06/08/1981,00:00,,1.97,In Range,Hydpeaks,1_3,
34,1981-1982,27/05/1982,10:00,0.838,2.02,In Range,Digital Archive,1_3,
9,1982-1983,01/06/1983,07:30,1.04,3.44,In Range,Digital Archive,1_3,
34,1983-1984,27/11/1983,04:00,0.837,2.02,In Range,Digital Archive,1_3,
47,1984-1985,06/06/1985,01:45,0.792,1.76,In Range,Digital Archive,1_3,
14,1985-1986,20/05/1986,14:00,0.992,3.06,In Range,Digital Archive,1_3,
44,1986-1987,20/10/1986,10:30,0.799,1.8,In Range,Digital Archive,1_3,
7,1987-1988,29/01/1988,16:15,1.047,3.5,In Range,Digital Archive,1_3,
39,1988-1989,20/10/1988,06:00,0.824,1.94,In Range,Digital Archive,1_3,
23,1989-1990,03/02/1990,13:45,0.915,2.51,In Range,Digital Archive,1_3,
68,1990-1991,30/04/1991,01:45,0.675,1.2,In Range,Digital Archive,1_3,
4,1991-1992,29/05/1992,21:15,1.056,3.57,In Range,Digital Archive,1_3,
26,1992-1993,11/06/1993,21:00,0.892,2.36,In Range,Digital Archive,1_3,
2,1993-1994,13/10/1993,03:00,1.085,3.82,In Range,Digital Archive,1_3,
40,1994-1995,29/01/1995,18:15,0.82,1.92,In Range,Digital Archive,1_3,
1,1995-1996,23/07/1996,23:00,1.284,5.83,Extrap.,Digital Archive,1_3,
57,1996-1997,26/06/1997,18:00,0.749,1.54,In Range,Digital Archive,1_3,
53,1997-1998,09/04/1998,15:30,0.767,1.63,In Range,Digital Archive,1_3,
52,1998-1999,03/07/1999,08:00,0.77,1.65,In Range,Digital Archive,1_3,
60,1999-2000,15/05/2000,05:45,0.737,1.48,In Range,Digital Archive,1_3,
15,2000-2001,10/05/2001,03:45,0.987,3.02,In Range,Digital Archive,1_3,
25,2001-2002,31/07/2002,10:15,0.895,2.38,In Range,Digital Archive,1_3,
19,2002-2003,02/01/2003,12:15,0.94,2.68,In Range,Digital Archive,1_3,
33,2003-2004,25/11/2003,22:00,0.847,2.08,In Range,Digital Archive,1_3,
44,2004-2005,18/11/2004,21:30,0.799,1.8,In Range,Digital Archive,1_3,
65,2005-2006,24/10/2005,07:45,0.691,1.27,In Range,Digital Archive,1_3,
30,2006-2007,20/07/2007,15:30,0.857,2.14,In Range,Digital Archive,1_3,
43,2007-2008,25/05/2008,11:30,0.804,1.83,In Range,Digital Archive,1_3,
23,2008-2009,07/08/2009,01:30,0.915,2.51,In Range,Digital Archive,1_3,
17,2009-2010,02/05/2010,03:15,0.951,2.76,In Range,Digital Archive,1_3,
48,2010-2011,18/01/2011,05:00,0.787,1.74,In Range,Digital Archive,1_3,
36,2011-2012,29/04/2012,05:45,0.835,2.01,In Range,Digital Archive,1_3,
55,2012-2013,11/04/2013,03:45,0.755,1.57,In Range,Digital Archive,1_3,
10,2013-2014,07/02/2014,07:30,1.035,3.4,In Range,Digital Archive,1_3,
13,2014-2015,17/07/2015,03:30,0.993,3.07,In Range,Digital Archive,1_3,
3,2015-2016,23/06/2016,21:00,1.08,3.78,In Range,Digital Archive,1_3,
54,2016-2017,09/08/2017,14:15,0.758,1.59,In Range,Digital Archive,1_3,
28,2017-2018,29/05/2018,16:15,0.872,2.23,In Range,Digital Archive,1_3,
42,2018-2019,15/10/2018,03:15,0.808,1.851,In Range,Digital Archive,1_3,
37,2019-2020,18/06/2020,06:45,0.832,1.99,In Range,Digital Archive,1_3,
7,2020-2021,18/06/2021,17:15,1.047,3.5,In Range,Digital Archive,1_3,
20,2021-2022,21/10/2021,02:00,0.931,2.618,In Range,Digital Archive,1_3,
11,2022-2023,09/05/2023,21:30,0.996,3.09,In Range,Digital Archive,1_3,
